41790290	UML 2 and the Unified Process: Practical Object-Oriented Analysis and Design (2nd Edition) (Addison-Wesley Object Technology Series)	Jim Arlow	Addison-Wesley Professional (2005), Edition: 2, Paperback, 624 pages	2005	0321321278	English	UML 2 and the Unified Process: Practical Object-Oriented Analysis and Design (2nd Edition) (Addison-Wesley Object Technology Series) by Jim Arlow (2005)
41790295	Design Patterns Explained: A New Perspective on Object-Oriented Design (2nd Edition) (Software Patterns Series)	Alan Shalloway	Addison-Wesley Professional (2004), Edition: 2, Paperback, 480 pages	2004	0321247140	English	Design Patterns Explained: A New Perspective on Object-Oriented Design (2nd Edition) (Software Patterns Series) by Alan Shalloway (2004)
41790300	Windows Presentation Foundation Unleashed (WPF)	Adam Nathan	Sams (2006), Edition: 1, Paperback, 656 pages	2006	0672328917	English	Windows Presentation Foundation Unleashed (WPF) by Adam Nathan (2006)
41790302	CLR via C#, Second Edition (Pro Developer)	Jeffrey Richter	Microsoft Press (2006), Edition: 2, Paperback, 736 pages	2006	0735621632	English	CLR via C#, Second Edition (Pro Developer) by Jeffrey Richter (2006)
41790316	Professional ASP.NET 3.5 Security, Membership, and Role Management with C# and VB (Wrox Programmer to Programmer)	Bilal Haidar	Wrox (2008), Paperback, 936 pages	2008	0470379308	English	Professional ASP.NET 3.5 Security, Membership, and Role Management with C# and VB (Wrox Programmer to Programmer) by Bilal Haidar (2008)
41790319	Expert F# (Expert's Voice in .Net)	Don Syme	Apress (2007), Edition: illustrated edition, Hardcover, 609 pages	2007	1590598504	English	Expert F# (Expert's Voice in .Net) by Don Syme (2007)
41790327	Agile Principles, Patterns, and Practices in C# (Robert C. Martin Series)	Robert C. Martin	Prentice Hall PTR (2006), Edition: 1, Hardcover, 768 pages	2006	0131857258	English	Agile Principles, Patterns, and Practices in C# (Robert C. Martin Series) by Robert C. Martin (2006)
41790336	Applying Domain-Driven Design and Patterns: With Examples in C# and .NET	Jimmy Nilsson	Addison-Wesley Professional (2006), Hardcover, 576 pages	2006	0321268202	English	Applying Domain-Driven Design and Patterns: With Examples in C# and .NET by Jimmy Nilsson (2006)
41790344	Patterns of Enterprise Application Architecture (Addison-Wesley Signature Series)	Martin Fowler	Addison-Wesley Professional (2002), Hardcover, 560 pages	2002	0321127420	English	Patterns of Enterprise Application Architecture (Addison-Wesley Signature Series) by Martin Fowler (2002)
41790350	Design Patterns: Elements of Reusable Object-Oriented Software (Addison-Wesley Professional Computing Series)	Erich Gamma	Addison-Wesley Professional (1994), Edition: illustrated edition, Hardcover, 416 pages	1994	0201633612	English	Design Patterns: Elements of Reusable Object-Oriented Software (Addison-Wesley Professional Computing Series) by Erich Gamma (1994)
41790355	Head First Design Patterns	Elisabeth Freeman	O'Reilly Media, Inc. (2004), Edition: 1, Paperback, 676 pages	2004	0596007124	English	Head First Design Patterns by Elisabeth Freeman (2004)
41790365	Writing Secure Code, Second Edition	Michael Howard	Microsoft Press (2003), Edition: 2 Sub, Paperback, 798 pages	2003	0735617228	English	Writing Secure Code, Second Edition by Michael Howard (2003)
41790439	Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers	Will Durant	Pocket (1991), Mass Market Paperback, 528 pages	1991	0671739166	English	Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers by Will Durant (1991)
41790513	The Story of Civilization [Volumes 1 to 11] (Hardcover Set 1963-1975)	Will &amp; Ariel Durant	Simon &amp; Schuster (1963), Hardcover	1963	1567310125	English	The Story of Civilization [Volumes 1 to 11] (Hardcover Set 1963-1975) by Will &amp; Ariel Durant (1963)
44899985	Revolution in The Valley: The Insanely Great Story of How the Mac Was Made	Andy Hertzfeld	O'Reilly Media, Inc. (2004), Edition: illustrated edition, Hardcover, 320 pages	2004	0596007191	English	Revolution in The Valley: The Insanely Great Story of How the Mac Was Made by Andy Hertzfeld (2004)
44899992	Physics Demystified : A Self-Teaching Guide (Demystified)	Stan Gibilisco	McGraw-Hill Professional (2002), Edition: 1, Paperback, 599 pages	2002	0071382011	English	Physics Demystified : A Self-Teaching Guide (Demystified) by Stan Gibilisco (2002)
44900689	3.091 : Introduction to Solid State Chemistry	[Multiple]	[New York] : Wiley Custom Services, c2006.	2006	0471775231	English	3.091 : Introduction to Solid State Chemistry (2006)
	
